safetyreportid,field_count_raw,field_count_converted
22101249,69,69
23374760,70,70
22138252,68,68
23375299,52,52
22145919,68,68
23376232,80,80
22031224,77,77
23377042,78,78
22093323,60,60
23377109,48,48
22094968,69,69
23407840,71,71
22114774,65,65
23407907,65,65
22142032,62,62
23408069,73,73
22150671,73,73
23440919,68,68
22155612,74,74
23442391,68,68
22179250,78,78
23410837,51,51
22194316,70,70
22961440,61,61
22222222,70,70
23009783,61,61
21981354,75,75
23011621,69,69
22244307,69,69
23025673,84,84
22254876,68,68
23378324,66,66
22263261,75,75
23378500,65,65
22068753,75,75
23379916,52,52
22070468,70,70
23380701,68,68
22087693,79,79
23380835,69,69
22095025,71,71
23443444,59,59
22095078,73,73
23443983,68,68
22112373,69,69
23444335,80,80
22167559,80,80
23445198,72,72
22177860,68,68
23445240,69,69
22178913,77,77
23416398,66,66
22220508,70,70
23416655,62,62
22231267,66,66
23418127,66,66
22231348,69,69
23042630,73,73
22252947,64,64
23053995,72,72
22253056,79,79
23056048,81,81
22265745,76,76
23058006,71,71
22277018,70,70
23063729,77,77
22317436,72,72
23075030,78,78
22760224,49,49
23087772,69,69
22761168,84,84
23090406,66,66
22764341,72,72
23092121,79,79
22767405,64,64
23094495,69,69
22789638,70,70
23096129,73,73
22611857,64,64
23098383,73,73
22612748,73,73
23105687,70,70
22662792,71,71
23381874,62,62
23102867,67,67
23383656,82,82
23106216,55,55
23448748,66,66
23107336,73,73
23449963,66,66
23108551,56,56
23421004,77,77
23183555,72,72
23451597,77,77
23189320,75,75
23453069,76,76
23191493,81,81
23385843,64,64
23199094,67,67
23387692,69,69
23208356,78,78
23454851,67,67
23307594,70,70
23455661,48,48
23222316,57,57
23455809,70,70
23232980,78,78
23456471,80,80
23233103,80,80
23461035,65,65
23235639,64,64
23435757,63,63
23203361,68,68
23461493,88,88
23206964,70,70
23257090,72,72
23209947,69,69
23259735,81,81
23218385,73,73
23264070,73,73
23219586,81,81
23438701,82,82
23221734,59,59
23440201,62,62
23223125,77,77
23440430,66,66
23226876,71,71
23440821,70,70
23227066,73,73
23463976,64,64
23230200,69,69
23464476,61,61
23230482,66,66
23265743,74,74
23145082,67,67
23273438,70,70
23337078,72,72
23275544,66,66
23356451,60,60
23280122,70,70
23357733,70,70
23288571,82,82
23358004,76,76
23289800,67,67
23358152,64,64
23396764,79,79
23304192,70,70
23397440,70,70
23309496,64,64
23397521,59,59
23310605,74,74
23398317,71,71
23312616,68,68
23398384,73,73
23312764,74,74
23399356,69,69
23313345,76,76
23399909,68,68
23313750,73,73
23400021,71,71
23300238,76,76
23441307,67,67
23305556,82,82
23441455,67,67
23308148,83,83
23444519,72,72
23309606,64,64
23468054,71,71
23316167,66,66
23470040,68,68
23318301,83,83
23400627,71,71
23318664,81,81
23402018,78,78
23318798,75,75
23295470,78,78
23318921,69,69
23305609,75,75
23320689,62,62
23308444,78,78
23358381,70,70
23309955,81,81
23358758,58,58
